Site,Target,Aim
MSMC,Hispanic consented,~40%
UF,Hispanic consented,~40%
UM,Hispanic consented,~40%
MSMC,White consented,~40%
UF,White consented,~40%
UM,White consented,~40%
MSMC,African American consented,~20%
UF,African American consented,~20%
UM,African American consented,~20%
MSMC,New Participants,100
UF,New Participants,100
UM,New Participants,100
MSMC,Follow-up visits,200
UF,Follow-up visits,100
UM,Follow-up visits,100
MSMC,FV MRI/PET,Yes
UF,FV MRI/PET,Yes
UM,FV MRI/PET,Yes